uspc_class,,examiner_art_unit,uspc_class,allowance
273,2,2856,273,0.3720947646282854
274,0,2605,274,0.9276928044143636
274,1,2403,274,0.8999913397581583
276,0,3102,276,0.5020153059451999
277,0,2886,277,0.6996409370059657
277,1,2856,277,0.6703569758051764
277,2,2855,277,0.6343056821373436
278,0,2882,278,0.5347415498620367
278,1,2506,278,0.43853441504506085
278,2,3617,278,0.33980478592224966
279,0,2836,279,0.5139200287275231
279,1,2605,279,0.46446633173732055
279,2,3747,279,0.4554334434693442
280,0,4123,280,0.6526352210565641
280,1,OPC,280,0.5947572531966239
280,2,3667,280,0.5896630281609029
281,0,2914,281,0.5961060751573745
281,1,3638,281,0.5545214210796184
281,2,2899,281,0.32299482914685274
282,0,1504,282,0.9271707177071508
282,1,1503,282,0.9001561861800572
282,2,3204,282,0.8937217029903401
283,0,2914,283,0.719926154280748
283,1,3638,283,0.6843391535009115
283,2,2666,283,0.5817015407349532
285,0,3638,285,0.8022310601171865
285,1,2847,285,0.7593839672466691
285,2,2882,285,0.679238527715074
289,0,3765,289,0.5440043232096878
289,1,2407,289,0.47372068629375597
289,2,1774,289,0.4306320364188011
290,0,3638,290,0.727213773106737
290,1,2842,290,0.6478528193204748
290,2,2838,290,0.5372868615023809
291,0,2834,291,0.5110237925761748
291,1,3649,291,0.4781307361940135
291,2,3103,291,0.4640964584328682
292,0,3765,292,0.6479497963788788
292,1,2854,292,0.644518084644045
292,2,2687,292,0.6353387732944037
293,0,3651,293,0.536103344160941
293,1,3657,293,0.5247207969547846
293,2,3618,293,0.5122050071003732
294,0,3638,294,0.7532423454053232
294,1,2856,294,0.5986564705371608
294,2,2899,294,0.5391649651759463
295,0,1784,295,0.5177296557047494
295,1,1104,295,0.5001300144016047
295,2,3612,295,0.4925588022833639
296,0,2852,296,0.7307372075151689
296,1,3667,296,0.701892570836487
296,2,2661,296,0.6348679771783646
297,0,3638,297,0.8147518899805342
297,1,OPIM,297,0.7847595105454284
297,2,3667,297,0.7208038133656886
298,0,2506,298,0.6017863490244614
298,1,3651,298,0.5738820399597503
298,2,3612,298,0.5206552530596681
299,0,2899,299,0.7003820908368789
299,1,3678,299,0.6886728841964809
299,2,3307,299,0.6815533703222176
300,0,2819,300,0.6227799508984557
300,1,2817,300,0.590755653708646
300,2,3776,300,0.5511365718891159
301,0,OPC,301,0.5943749041575527
301,1,2856,301,0.544286529208608
301,2,3616,301,0.48210329994225276
302,0,3103,302,0.67680104365059
303,0,2838,303,0.5824553744397138
303,1,2837,303,0.563703745780098
303,2,2899,303,0.5510637155801701
305,0,3616,305,0.640215993981478
305,1,3618,305,0.5730421261507914
305,2,3663,305,0.5660774108299568
307,0,2868,307,0.767030903747362
307,1,2847,307,0.7409215637102345
307,2,2842,307,0.7172453442616145
308,0,3304,308,0.9713464788034292
308,1,2102,308,0.969730521285492
308,2,3103,308,0.967299000125013
310,0,2847,310,0.6916802810037621
310,1,2842,310,0.6655354495653111
310,2,2852,310,0.6611186036714763
312,0,2847,312,0.777060071059009
312,1,2848,312,0.715050456924242
312,2,2856,312,0.6864333863241143
313,0,2842,313,0.6015007656845973
313,1,2852,313,0.5967506610701949
313,2,2886,313,0.5504077724407711
314,0,2844,314,0.38792536376127457
314,1,2819,314,0.34406146711972346
314,2,2845,314,0.33235066752302156
315,0,2842,315,0.6960742722043622
315,1,2852,315,0.6918740017888245
315,2,2887,315,0.6330191440043941
316,0,3202,316,0.6003907754406536
317,0,2102,317,0.4347753475105116
318,0,2842,318,0.7543007263901057
318,1,2844,318,0.6691152558361662
