usindex,examiner_art_unit,uspc_class,rejection,allowance
7656653,3653,271,0.4209672112932127,0.5790327887067873
1804796,3105,004,0.7521570703862296,0.2478429296137704
2694402,2861,347,0.5498582303272761,0.4501417696727239
4053374,1657,435,0.6685272594536119,0.3314727405463881
3827804,2863,359,0.5676229247459479,0.43237707525405206
5990431,3761,604,0.6305111424845348,0.36948885751546523
2906422,2829,324,0.5775011539577617,0.42249884604223825
9766023,3664,701,0.3955203781889972,0.6044796218110028
8052230,2913,D20,0.02990230270078642,0.9700976972992136
7408725,3779,600,0.5080357604213539,0.49196423957864616
1325804,2904,D22,0.016312845106168816,0.9836871548938312
1656976,2606,359,0.6728229338116988,0.3271770661883012
85391,3102,104,0.6145582143109711,0.3854417856890289
9915865,2433,726,0.33460901769452644,0.6653909823054736
8293345,2824,365,0.2913938098078449,0.7086061901921551
1951536,2912,D17,0.01669135485396589,0.9833086451460341
6407241,OPLC,405,0.9954561187698975,0.004543881230102493
2199234,3763,604,0.5387357695357557,0.4612642304642442
2843028,3723,081,0.6561403703257396,0.34385962967426037
7170417,2827,365,0.3912984562865841,0.6087015437134159
15877974,3672,175,0.5633356792257886,0.43666432077421136
16489485,1765,528,0.54885553110017,0.45114446889982995
8207323,3634,160,0.6716743209012954,0.3283256790987045
5676893,3673,005,0.6243828806087093,0.37561711939129067
743237,2101,355,0.568394424893085,0.431605575106915
3019038,2115,713,0.44446418964146794,0.5555358103585321
4940672,2159,707,0.4761686703325634,0.5238313296674366
1366375,2103,361,0.5116340032913343,0.48836599670866565
2887143,2882,378,0.4469307932130465,0.5530692067869535
4780523,2192,717,0.4817979120391128,0.5182020879608872
3748894,2818,438,0.4141924895417969,0.5858075104582031
962924,1501,525,0.5949871975906498,0.40501280240935017
9063404,2159,707,0.4761686703325634,0.5238313296674366
1107377,2608,379,0.6411365534049771,0.3588634465950229
2470596,2812,438,0.5143510507952376,0.4856489492047625
6887810,1761,510,0.651929638995342,0.34807036100465805
2400083,1751,510,0.756654320186047,0.24334567981395308
4530771,1792,426,0.804291327729677,0.1957086722703229
345340,2902,D06,0.005314186429762557,0.9946858135702374
879844,1302,426,0.5898587024428006,0.41014129755719947
